Influenza-Associated Hospitalizations by Virus Type Percent (data downloaded on 6/25/2019)
Season,WEEK_NUMBER,INFLUENZA A,INFLUENZA B,INFLUENZA A AND B,UNKNOWN
2003-04,2003-40,0.0,0.0,0.0,0.0
2003-04,2003-41,100.0,0.0,0.0,0.0
2003-04,2003-42,0.0,0.0,0.0,0.0
2003-04,2003-43,0.0,0.0,0.0,0.0
2003-04,2003-44,100.0,0.0,0.0,0.0
2003-04,2003-45,91.7,0.0,0.0,8.3
2003-04,2003-46,88.6,0.0,0.0,11.4
2003-04,2003-47,87.8,0.0,0.0,12.2
2003-04,2003-48,87.1,0.9,0.0,12.1
2003-04,2003-49,77.4,0.6,0.0,22.0
2003-04,2003-50,74.1,0.5,0.0,25.4
2003-04,2003-51,68.0,0.4,0.0,31.6
2003-04,2003-52,78.4,0.0,0.0,21.6
2003-04,2003-53,76.2,0.0,0.0,23.8
2003-04,2004-1,79.6,0.0,0.0,20.4
2003-04,2004-2,63.8,2.1,0.0,34.0
2003-04,2004-3,56.0,0.0,0.0,44.0
2003-04,2004-4,57.1,0.0,0.0,42.9
2003-04,2004-5,50.0,0.0,0.0,50.0
2003-04,2004-6,100.0,0.0,0.0,0.0
2003-04,2004-7,50.0,0.0,0.0,50.0
2003-04,2004-8,66.7,0.0,0.0,33.3
2003-04,2004-9,0.0,0.0,0.0,0.0
2003-04,2004-10,33.3,0.0,0.0,66.7
2003-04,2004-11,0.0,0.0,0.0,100.0
2003-04,2004-12,0.0,0.0,0.0,0.0
2003-04,2004-13,100.0,0.0,0.0,0.0
2003-04,2004-14,0.0,0.0,0.0,0.0
2003-04,2004-15,0.0,0.0,0.0,0.0
2003-04,2004-16,0.0,0.0,0.0,0.0
2003-04,2004-17,0.0,0.0,0.0,0.0
2004-05,2004-40,0.0,0.0,0.0,0.0
2004-05,2004-41,0.0,100.0,0.0,0.0
2004-05,2004-42,0.0,0.0,0.0,0.0
2004-05,2004-43,0.0,0.0,0.0,0.0
2004-05,2004-44,0.0,0.0,0.0,0.0
2004-05,2004-45,0.0,100.0,0.0,0.0
2004-05,2004-46,100.0,0.0,0.0,0.0
2004-05,2004-47,100.0,0.0,0.0,0.0
2004-05,2004-48,0.0,100.0,0.0,0.0
2004-05,2004-49,0.0,100.0,0.0,0.0
2004-05,2004-50,71.4,28.6,0.0,0.0
2004-05,2004-51,90.0,10.0,0.0,0.0
2004-05,2004-52,88.0,8.0,0.0,4.0
2004-05,2005-1,75.0,18.8,0.0,6.3
2004-05,2005-2,73.5,26.5,0.0,0.0
2004-05,2005-3,84.6,13.5,0.0,1.9
2004-05,2005-4,76.5,15.7,0.0,7.8
2004-05,2005-5,75.9,20.7,0.0,3.4
2004-05,2005-6,79.7,15.3,0.0,5.1
2004-05,2005-7,55.2,17.2,0.0,27.6
2004-05,2005-8,42.6,29.6,0.0,27.8
2004-05,2005-9,48.8,32.6,0.0,18.6
2004-05,2005-10,51.5,39.4,0.0,9.1
2004-05,2005-11,54.5,45.5,0.0,0.0
2004-05,2005-12,40.0,52.0,0.0,8.0
2004-05,2005-13,50.0,50.0,0.0,0.0
2004-05,2005-14,55.6,44.4,0.0,0.0
2004-05,2005-15,33.3,66.7,0.0,0.0
2004-05,2005-16,100.0,0.0,0.0,0.0
2004-05,2005-17,60.0,40.0,0.0,0.0
2005-06,2005-40,100.0,0.0,0.0,0.0
2005-06,2005-41,100.0,0.0,0.0,0.0
2005-06,2005-42,0.0,100.0,0.0,0.0
2005-06,2005-43,0.0,0.0,0.0,0.0
2005-06,2005-44,83.3,16.7,0.0,0.0
2005-06,2005-45,100.0,0.0,0.0,0.0
2005-06,2005-46,75.0,25.0,0.0,0.0
2005-06,2005-47,80.0,20.0,0.0,0.0
2005-06,2005-48,75.0,12.5,0.0,12.5
2005-06,2005-49,100.0,0.0,0.0,0.0
2005-06,2005-50,93.3,0.0,0.0,6.7
2005-06,2005-51,89.7,2.6,0.0,7.7
2005-06,2005-52,95.7,1.4,0.0,2.9
2005-06,2006-1,98.6,0.0,0.0,1.4
2005-06,2006-2,94.8,0.0,0.0,5.2
2005-06,2006-3,94.9,0.0,0.0,5.1
2005-06,2006-4,98.9,1.1,0.0,0.0
2005-06,2006-5,95.2,0.8,0.0,4.0
2005-06,2006-6,87.6,2.2,0.0,10.2
2005-06,2006-7,86.3,1.3,0.0,12.4
2005-06,2006-8,88.2,6.2,0.0,5.6
2005-06,2006-9,88.4,8.7,0.0,2.9
2005-06,2006-10,80.3,14.5,0.0,5.2
2005-06,2006-11,81.6,15.8,0.0,2.5
2005-06,2006-12,77.9,19.8,0.0,2.3
2005-06,2006-13,69.9,30.1,0.0,0.0
2005-06,2006-14,71.4,23.8,0.0,4.8
2005-06,2006-15,57.9,42.1,0.0,0.0
2005-06,2006-16,73.3,23.3,0.0,3.3
2005-06,2006-17,85.0,10.0,0.0,5.0
2006-07,2006-40,100.0,0.0,0.0,0.0
2006-07,2006-41,100.0,0.0,0.0,0.0
2006-07,2006-42,100.0,0.0,0.0,0.0
2006-07,2006-43,100.0,0.0,0.0,0.0
2006-07,2006-44,80.0,20.0,0.0,0.0
2006-07,2006-45,100.0,0.0,0.0,0.0
2006-07,2006-46,100.0,0.0,0.0,0.0
2006-07,2006-47,80.0,0.0,0.0,20.0
2006-07,2006-48,91.7,8.3,0.0,0.0
2006-07,2006-49,93.8,6.3,0.0,0.0
2006-07,2006-50,81.0,14.3,0.0,4.8
2006-07,2006-51,90.7,9.3,0.0,0.0
2006-07,2006-52,84.4,8.9,0.0,6.7
2006-07,2007-1,88.9,8.3,0.0,2.8
2006-07,2007-2,91.4,2.9,0.0,5.7
2006-07,2007-3,89.3,10.7,0.0,0.0
2006-07,2007-4,90.5,3.2,0.0,6.3
2006-07,2007-5,93.4,6.6,0.0,0.0
2006-07,2007-6,81.3,10.3,0.0,8.4
2006-07,2007-7,80.4,6.9,0.0,12.7
2006-07,2007-8,78.4,19.6,0.0,2.1
2006-07,2007-9,81.3,16.5,0.0,2.2
2006-07,2007-10,77.6,17.6,0.0,4.7
2006-07,2007-11,85.6,14.4,0.0,0.0
2006-07,2007-12,87.0,11.6,0.0,1.4
2006-07,2007-13,90.5,9.5,0.0,0.0
2006-07,2007-14,84.2,15.8,0.0,0.0
2006-07,2007-15,79.4,14.7,0.0,5.9
2006-07,2007-16,75.7,24.3,0.0,0.0
2006-07,2007-17,77.4,12.9,0.0,9.7
