season,year,mmwr_week,agecat,cumrates,weekrate,network,weekint
2003-04,2003,40,Overall,0,0,EIP,1
2003-04,2003,41,Overall,0,0,EIP,2
2003-04,2003,42,Overall,0,0,EIP,3
2003-04,2003,43,Overall,0,0,EIP,4
2003-04,2003,44,Overall,0.1,0.1,EIP,5
2003-04,2003,45,Overall,0.4,0.3,EIP,6
2003-04,2003,46,Overall,1.4,1,EIP,7
2003-04,2003,47,Overall,3.5,2.1,EIP,8
2003-04,2003,48,Overall,6.2,2.7,EIP,9
2003-04,2003,49,Overall,10,3.7,EIP,10
2003-04,2003,50,Overall,14.3,4.3,EIP,11
2003-04,2003,51,Overall,19.7,5.4,EIP,12
2003-04,2003,52,Overall,24,4.3,EIP,13
2003-04,2004,1,Overall,28.2,1.3,EIP,14
2003-04,2004,2,Overall,29.3,1.1,EIP,15
2003-04,2004,3,Overall,29.9,0.6,EIP,16
2003-04,2004,4,Overall,30.1,0.2,EIP,17
2003-04,2004,5,Overall,30.3,0.2,EIP,18
2003-04,2004,6,Overall,30.3,0.1,EIP,19
2003-04,2004,7,Overall,30.4,0,EIP,20
2003-04,2004,8,Overall,30.5,0.1,EIP,21
2003-04,2004,9,Overall,30.5,0,EIP,22
2003-04,2004,10,Overall,30.5,0.1,EIP,23
2003-04,2004,11,Overall,30.6,0,EIP,24
2003-04,2004,12,Overall,30.6,0,EIP,25
2003-04,2004,13,Overall,30.6,0,EIP,26
2003-04,2004,14,Overall,30.6,0,EIP,27
2003-04,2004,15,Overall,30.6,0,EIP,28
2003-04,2004,16,Overall,30.6,0,EIP,29
2003-04,2004,17,Overall,30.6,0,EIP,30
2004-05,2004,40,Overall,0,0,EIP,1
2004-05,2004,41,Overall,0,0,EIP,2
2004-05,2004,42,Overall,0,0,EIP,3
2004-05,2004,43,Overall,0,0,EIP,4
2004-05,2004,44,Overall,0,0,EIP,5
2004-05,2004,45,Overall,0,0,EIP,6
2004-05,2004,46,Overall,0.2,0.1,EIP,7
2004-05,2004,47,Overall,0.2,0,EIP,8
2004-05,2004,48,Overall,0.2,0,EIP,9
2004-05,2004,49,Overall,0.3,0.1,EIP,10
2004-05,2004,50,Overall,0.4,0.2,EIP,11
