weekint,cumrates_eip,weekrate_eip,cumrates_fsn,weekrate_fsn
1,0.067,0.067,0.056,0.056
2,0.156,0.067,0.144,0.078
3,0.233,0.1,0.256,0.111
4,0.311,0.089,0.333,0.089
5,0.433,0.122,0.456,0.122
6,0.6,0.156,0.589,0.156
7,0.8,0.189,0.811,0.189
8,1.133,0.322,1.144,0.333
9,1.689,0.544,1.7,0.567
10,2.533,0.856,2.578,0.867
11,3.778,1.267,3.856,1.278
12,6.044,2.256,6.089,2.233
13,9.689,3.633,9.733,3.622
14,14.411,3.833,14.478,3.811
15,17.811,3.4,17.878,3.389
16,20.789,2.956,20.822,2.944
17,23.544,2.767,23.567,2.744
18,26.322,2.756,26.289,2.733
19,29.011,2.7,28.944,2.667
20,31.733,2.711,31.644,2.689
21,34.389,2.644,34.322,2.667
22,36.678,2.278,36.6,2.289
23,38.922,2.256,38.856,2.256
24,41.056,2.144,41.044,2.189
25,42.933,1.878,43,1.956
26,44.544,1.611,44.656,1.644
27,45.833,1.3,45.989,1.344
28,46.822,0.967,46.956,0.978
29,47.522,0.7,47.678,0.722
30,48.056,0.544,48.233,0.556
