"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Aug-08-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,EIP,2003-04,2003,40,0-4 yr,0,0
Entire Network,EIP,2003-04,2003,41,0-4 yr,0,0
Entire Network,EIP,2003-04,2003,42,0-4 yr,0,0
Entire Network,EIP,2003-04,2003,43,0-4 yr,0,0
Entire Network,EIP,2003-04,2003,44,0-4 yr,0.1,0.1
Entire Network,EIP,2003-04,2003,45,0-4 yr,0.7,0.6
Entire Network,EIP,2003-04,2003,46,0-4 yr,3.3,2.7
Entire Network,EIP,2003-04,2003,47,0-4 yr,9.1,5.8
Entire Network,EIP,2003-04,2003,48,0-4 yr,16.9,7.8
Entire Network,EIP,2003-04,2003,49,0-4 yr,28.1,11.2
Entire Network,EIP,2003-04,2003,50,0-4 yr,40,11.9
Entire Network,EIP,2003-04,2003,51,0-4 yr,55.6,15.6
Entire Network,EIP,2003-04,2003,52,0-4 yr,69,13.4
Entire Network,EIP,2003-04,2003,53,0-4 yr,78.7,9.7
Entire Network,EIP,2003-04,2004,1,0-4 yr,83.1,4.4
Entire Network,EIP,2003-04,2004,2,0-4 yr,86.6,3.4
Entire Network,EIP,2003-04,2004,3,0-4 yr,87.8,1.3
Entire Network,EIP,2003-04,2004,4,0-4 yr,88.4,0.5
Entire Network,EIP,2003-04,2004,5,0-4 yr,88.9,0.5
Entire Network,EIP,2003-04,2004,6,0-4 yr,89.1,0.3
Entire Network,EIP,2003-04,2004,7,0-4 yr,89.2,0.1
Entire Network,EIP,2003-04,2004,8,0-4 yr,89.4,0.2
Entire Network,EIP,2003-04,2004,9,0-4 yr,89.4,0
Entire Network,EIP,2003-04,2004,10,0-4 yr,89.6,0.3
Entire Network,EIP,2003-04,2004,11,0-4 yr,89.7,0.1
Entire Network,EIP,2003-04,2004,12,0-4 yr,89.7,0
Entire Network,EIP,2003-04,2004,13,0-4 yr,89.8,0.1
Entire Network,EIP,2003-04,2004,14,0-4 yr,89.8,0
Entire Network,EIP,2003-04,2004,15,0-4 yr,89.8,0
Entire Network,EIP,2003-04,2004,16,0-4 yr,89.8,0
Entire Network,EIP,2003-04,2004,17,0-4 yr,89.8,0
Entire Network,EIP,2003-04,2003,40,5-17 yr,0,0
Entire Network,EIP,2003-04,2003,41,5-17 yr,0,0
Entire Network,EIP,2003-04,2003,42,5-17 yr,0,0
Entire Network,EIP,2003-04,2003,43,5-17 yr,0,0
Entire Network,EIP,2003-04,2003,44,5-17 yr,0.1,0.1
Entire Network,EIP,2003-04,2003,45,5-17 yr,0.3,0.2
Entire Network,EIP,2003-04,2003,46,5-17 yr,0.7,0.4
Entire Network,EIP,2003-04,2003,47,5-17 yr,1.4,0.7
Entire Network,EIP,2003-04,2003,48,5-17 yr,2.2,0.8
Entire Network,EIP,2003-04,2003,49,5-17 yr,3.2,0.9
Entire Network,EIP,2003-04,2003,50,5-17 yr,4.6,1.5
Entire Network,EIP,2003-04,2003,51,5-17 yr,6.2,1.6
Entire Network,EIP,2003-04,2003,52,5-17 yr,7.1,0.9
Entire Network,EIP,2003-04,2003,53,5-17 yr,7.6,0.4
Entire Network,EIP,2003-04,2004,1,5-17 yr,7.7,0.1
Entire Network,EIP,2003-04,2004,2,5-17 yr,7.9,0.2
Entire Network,EIP,2003-04,2004,3,5-17 yr,8.2,0.3
Entire Network,EIP,2003-04,2004,4,5-17 yr,8.2,0
Entire Network,EIP,2003-04,2004,5,5-17 yr,8.3,0.1
Entire Network,EIP,2003-04,2004,6,5-17 yr,8.3,0
Entire Network,EIP,2003-04,2004,7,5-17 yr,8.3,0
Entire Network,EIP,2003-04,2004,8,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,9,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,10,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,11,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,12,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,13,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,14,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,15,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,16,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2004,17,5-17 yr,8.4,0
Entire Network,EIP,2003-04,2003,40,Overall,0,0
Entire Network,EIP,2003-04,2003,41,Overall,0,0
Entire Network,EIP,2003-04,2003,42,Overall,0,0
Entire Network,EIP,2003-04,2003,43,Overall,0,0
Entire Network,EIP,2003-04,2003,44,Overall,0.1,0.1
Entire Network,EIP,2003-04,2003,45,Overall,0.4,0.3
Entire Network,EIP,2003-04,2003,46,Overall,1.4,1
Entire Network,EIP,2003-04,2003,47,Overall,3.5,2.1
Entire Network,EIP,2003-04,2003,48,Overall,6.2,2.7
Entire Network,EIP,2003-04,2003,49,Overall,10,3.7
Entire Network,EIP,2003-04,2003,50,Overall,14.3,4.3
Entire Network,EIP,2003-04,2003,51,Overall,19.7,5.4
Entire Network,EIP,2003-04,2003,52,Overall,24,4.3
Entire Network,EIP,2003-04,2003,53,Overall,27,3
Entire Network,EIP,2003-04,2004,1,Overall,28.2,1.3
Entire Network,EIP,2003-04,2004,2,Overall,29.3,1.1
Entire Network,EIP,2003-04,2004,3,Overall,29.9,0.6
Entire Network,EIP,2003-04,2004,4,Overall,30.1,0.2
Entire Network,EIP,2003-04,2004,5,Overall,30.3,0.2
Entire Network,EIP,2003-04,2004,6,Overall,30.3,0.1
Entire Network,EIP,2003-04,2004,7,Overall,30.4,0
Entire Network,EIP,2003-04,2004,8,Overall,30.5,0.1
Entire Network,EIP,2003-04,2004,9,Overall,30.5,0
Entire Network,EIP,2003-04,2004,10,Overall,30.5,0.1
Entire Network,EIP,2003-04,2004,11,Overall,30.6,0
Entire Network,EIP,2003-04,2004,12,Overall,30.6,0
Entire Network,EIP,2003-04,2004,13,Overall,30.6,0
Entire Network,EIP,2003-04,2004,14,Overall,30.6,0
Entire Network,EIP,2003-04,2004,15,Overall,30.6,0
Entire Network,EIP,2003-04,2004,16,Overall,30.6,0
Entire Network,EIP,2003-04,2004,17,Overall,30.6,0
Entire Network,EIP,2004-05,2004,40,0-4 yr,0,0
Entire Network,EIP,2004-05,2004,41,0-4 yr,0.1,0.1
Entire Network,EIP,2004-05,2004,42,0-4 yr,0.1,0
Entire Network,EIP,2004-05,2004,43,0-4 yr,0.1,0
Entire Network,EIP,2004-05,2004,44,0-4 yr,0.1,0
Entire Network,EIP,2004-05,2004,45,0-4 yr,0.2,0.1
Entire Network,EIP,2004-05,2004,46,0-4 yr,0.6,0.4
Entire Network,EIP,2004-05,2004,47,0-4 yr,0.6,0.1
Entire Network,EIP,2004-05,2004,48,0-4 yr,0.7,0.1
Entire Network,EIP,2004-05,2004,49,0-4 yr,0.9,0.2
Entire Network,EIP,2004-05,2004,50,0-4 yr,1.3,0.4
Entire Network,EIP,2004-05,2004,51,0-4 yr,1.7,0.4
Entire Network,EIP,2004-05,2004,52,0-4 yr,3.2,1.5
Entire Network,EIP,2004-05,2005,1,0-4 yr,5,1.8
Entire Network,EIP,2004-05,2005,2,0-4 yr,7,2
Entire Network,EIP,2004-05,2005,3,0-4 yr,9.6,2.6
Entire Network,EIP,2004-05,2005,4,0-4 yr,12.5,2.9
Entire Network,EIP,2004-05,2005,5,0-4 yr,15.7,3.2
