Characteristics of Influenza-Associated Hospitalizations (data downloaded on 6/25/2019)
SEASON,CHARACTERTISTIC,GROUP,COUNT,PERCENT
2003-04,Age Group,0-4 yr,1046,80.1
2003-04,Age Group,5-17 yr,260,19.9
2003-04,Sex,Male,748,57.3
2003-04,Sex,Female,558,42.7
2003-04,ICU Admission,Yes       ,148,11.3
2003-04,ICU Admission,No        ,1158,88.7
2003-04,Mechanical Ventilation,No        ,1261,96.6
2003-04,Mechanical Ventilation,Yes       ,45,3.4
2003-04,Pneumonia Diagnosis,Yes       ,299,22.9
2003-04,Pneumonia Diagnosis,No        ,1007,77.1
2003-04,Deaths,Yes       ,5,0.4
2003-04,Deaths,No        ,1301,99.6
2003-04,Antiviral Treatments,No        ,980,75.0
2003-04,Antiviral Treatments,Yes       ,326,25.0
2004-05,Age Group,5-17 yr,194,31.5
2004-05,Age Group,0-4 yr,421,68.5
2004-05,Sex,Male,350,56.9
2004-05,Sex,Female,265,43.1
2004-05,ICU Admission,Yes       ,76,12.4
2004-05,ICU Admission,No        ,539,87.6
2004-05,Mechanical Ventilation,Yes       ,34,5.5
2004-05,Mechanical Ventilation,No        ,581,94.5
2004-05,Pneumonia Diagnosis,No        ,511,83.1
2004-05,Pneumonia Diagnosis,Yes       ,104,16.9
2004-05,Deaths,Yes       ,4,0.7
2004-05,Deaths,No        ,611,99.3
2004-05,Antiviral Treatments,Yes       ,142,23.1
2004-05,Antiviral Treatments,No        ,473,76.9
2005-06,Age Group,65+ yr,724,37.4
2005-06,Age Group,18-49 yr,285,14.7
2005-06,Age Group,50-64 yr,219,11.3
2005-06,Age Group,5-17 yr,184,9.5
2005-06,Age Group,0-4 yr,522,27.0
2005-06,Sex,Male,925,47.8
2005-06,Sex,Female,1009,52.2
2005-06,ICU Admission,Yes       ,285,14.7
2005-06,ICU Admission,No        ,1649,85.3
2005-06,Mechanical Ventilation,Yes       ,173,8.9
2005-06,Mechanical Ventilation,No        ,1761,91.1
2005-06,Pneumonia Diagnosis,No        ,1402,72.5
2005-06,Pneumonia Diagnosis,Yes       ,532,27.5
2005-06,Deaths,Yes       ,58,3.0
2005-06,Deaths,No        ,1876,97.0
2005-06,Antiviral Treatments,Yes       ,862,44.6
2005-06,Antiviral Treatments,No        ,1072,55.4
2006-07,Age Group,65+ yr,355,27.8
2006-07,Age Group,50-64 yr,155,12.1
2006-07,Age Group,18-49 yr,246,19.2
2006-07,Age Group,5-17 yr,130,10.2
2006-07,Age Group,0-4 yr,393,30.7
2006-07,Sex,Male,631,49.3
2006-07,Sex,Female,648,50.7
2006-07,ICU Admission,Yes       ,198,15.5
2006-07,ICU Admission,No        ,1081,84.5
2006-07,Mechanical Ventilation,No        ,1168,91.3
2006-07,Mechanical Ventilation,Yes       ,111,8.7
2006-07,Pneumonia Diagnosis,Yes       ,404,31.6
2006-07,Pneumonia Diagnosis,No        ,875,68.4
2006-07,Deaths,Yes       ,24,1.9
2006-07,Deaths,No        ,1255,98.1
2006-07,Antiviral Treatments,Yes       ,488,38.2
2006-07,Antiviral Treatments,No        ,791,61.8
2007-08,Age Group,65+ yr,1749,44.5
2007-08,Age Group,18-49 yr,736,18.7
2007-08,Age Group,50-64 yr,585,14.9
2007-08,Age Group,5-17 yr,221,5.6
2007-08,Age Group,0-4 yr,639,16.3
