Influenza-Associated Hospitalizations by Virus Type Number (data downloaded on 6/25/2019)
SEASON,WEEK_NUMBER,INFLUENZA A,INFLUENZA B,INFLUENZA A AND B,UNKNOWN
2003-04,2003-40,0,0,0,0
2003-04,2003-41,1,0,0,0
2003-04,2003-42,0,0,0,0
2003-04,2003-43,0,0,0,0
2003-04,2003-44,3,0,0,0
2003-04,2003-45,11,0,0,1
2003-04,2003-46,39,0,0,5
2003-04,2003-47,79,0,0,11
2003-04,2003-48,101,1,0,14
2003-04,2003-49,123,1,0,35
2003-04,2003-50,137,1,0,47
2003-04,2003-51,157,1,0,73
2003-04,2003-52,145,0,0,40
2003-04,2003-53,96,0,0,30
2003-04,2004-1,43,0,0,11
2003-04,2004-2,30,1,0,16
2003-04,2004-3,14,0,0,11
2003-04,2004-4,4,0,0,3
2003-04,2004-5,4,0,0,4
2003-04,2004-6,3,0,0,0
2003-04,2004-7,1,0,0,1
2003-04,2004-8,2,0,0,1
2003-04,2004-9,0,0,0,0
2003-04,2004-10,1,0,0,2
2003-04,2004-11,0,0,0,1
2003-04,2004-12,0,0,0,0
2003-04,2004-13,1,0,0,0
2003-04,2004-14,0,0,0,0
2003-04,2004-15,0,0,0,0
2003-04,2004-16,0,0,0,0
2003-04,2004-17,0,0,0,0
2004-05,2004-40,0,0,0,0
2004-05,2004-41,0,1,0,0
2004-05,2004-42,0,0,0,0
2004-05,2004-43,0,0,0,0
2004-05,2004-44,0,0,0,0
2004-05,2004-45,0,1,0,0
2004-05,2004-46,6,0,0,0
2004-05,2004-47,1,0,0,0
2004-05,2004-48,0,1,0,0
2004-05,2004-49,0,3,0,0
2004-05,2004-50,5,2,0,0
2004-05,2004-51,9,1,0,0
2004-05,2004-52,22,2,0,1
2004-05,2005-1,24,6,0,2
2004-05,2005-2,25,9,0,0
2004-05,2005-3,44,7,0,1
2004-05,2005-4,39,8,0,4
2004-05,2005-5,44,12,0,2
2004-05,2005-6,47,9,0,3
2004-05,2005-7,32,10,0,16
2004-05,2005-8,23,16,0,15
2004-05,2005-9,21,14,0,8
2004-05,2005-10,17,13,0,3
2004-05,2005-11,12,10,0,0
2004-05,2005-12,10,13,0,2
2004-05,2005-13,9,9,0,0
2004-05,2005-14,5,4,0,0
2004-05,2005-15,2,4,0,0
2004-05,2005-16,1,0,0,0
2004-05,2005-17,3,2,0,0
2005-06,2005-40,2,0,0,0
2005-06,2005-41,2,0,0,0
2005-06,2005-42,0,1,0,0
2005-06,2005-43,0,0,0,0
2005-06,2005-44,5,1,0,0
2005-06,2005-45,1,0,0,0
2005-06,2005-46,3,1,0,0
2005-06,2005-47,4,1,0,0
2005-06,2005-48,6,1,0,1
2005-06,2005-49,11,0,0,0
2005-06,2005-50,14,0,0,1
2005-06,2005-51,35,1,0,3
2005-06,2005-52,66,1,0,2
2005-06,2006-1,68,0,0,1
2005-06,2006-2,55,0,0,3
2005-06,2006-3,74,0,0,4
2005-06,2006-4,87,1,0,0
2005-06,2006-5,120,1,0,5
2005-06,2006-6,120,3,0,14
2005-06,2006-7,132,2,0,19
2005-06,2006-8,142,10,0,9
2005-06,2006-9,153,15,0,5
2005-06,2006-10,155,28,0,10
2005-06,2006-11,129,25,0,4
2005-06,2006-12,102,26,0,3
2005-06,2006-13,65,28,0,0
2005-06,2006-14,45,15,0,3
2005-06,2006-15,22,16,0,0
2005-06,2006-16,22,7,0,1
2005-06,2006-17,17,2,0,1
2006-07,2006-40,1,0,0,0
2006-07,2006-41,1,0,0,0
