lid,cnt_selected,P,lclass
LOESS1,25,0.833333333333333,LOESS
LOESS2,25,0.833333333333333,LOESS
LOESS3,25,0.833333333333333,LOESS
LOESS4,25,0.833333333333333,LOESS
SVM3,16,0.533333333333333,Support vector regression
NNet20,15,0.5,Neural network
NNet18,14,0.466666666666667,Neural network
NNet21,14,0.466666666666667,Neural network
ScreenGLM,14,0.466666666666667,GLM
NNet9,13,0.433333333333333,Neural network
NNet26,13,0.433333333333333,Neural network
PMARS3,13,0.433333333333333,PolyMARS
GAM2,13,0.433333333333333,GAM
Mean,12,0.4,Mean of prediction target
NNet2,12,0.4,Neural network
NNet3,12,0.4,Neural network
NNet12,12,0.4,Neural network
NNet14,12,0.4,Neural network
NNet19,12,0.4,Neural network
NNet22,12,0.4,Neural network
NNet23,12,0.4,Neural network
NNet28,12,0.4,Neural network
NNet30,12,0.4,Neural network
PMARS4,12,0.4,PolyMARS
PMARS5,12,0.4,PolyMARS
GAM1,12,0.4,GAM
EN3,11,0.366666666666667,Penalized regression
LASSO,11,0.366666666666667,Penalized regression
NNet7,11,0.366666666666667,Neural network
NNet8,11,0.366666666666667,Neural network
NNet11,11,0.366666666666667,Neural network
NNet15,11,0.366666666666667,Neural network
NNet27,11,0.366666666666667,Neural network
RF7,11,0.366666666666667,Random forest
RF16,11,0.366666666666667,Random forest
RF25,11,0.366666666666667,Random forest
RF26,11,0.366666666666667,Random forest
SVM2,11,0.366666666666667,Support vector regression
EN1,10,0.333333333333333,Penalized regression
EN2,10,0.333333333333333,Penalized regression
NNet1,10,0.333333333333333,Neural network
NNet10,10,0.333333333333333,Neural network
NNet16,10,0.333333333333333,Neural network
NNet17,10,0.333333333333333,Neural network
NNet24,10,0.333333333333333,Neural network
PMARS1,10,0.333333333333333,PolyMARS
PMARS2,10,0.333333333333333,PolyMARS
RF8,10,0.333333333333333,Random forest
RF9,10,0.333333333333333,Random forest
RF13,10,0.333333333333333,Random forest
RF17,10,0.333333333333333,Random forest
RF18,10,0.333333333333333,Random forest
RF27,10,0.333333333333333,Random forest
GAM3,10,0.333333333333333,GAM
NNet5,9,0.3,Neural network
NNet6,9,0.3,Neural network
NNet29,9,0.3,Neural network
RF4,9,0.3,Random forest
RF5,9,0.3,Random forest
RF6,9,0.3,Random forest
RF14,9,0.3,Random forest
RF15,9,0.3,Random forest
RF19,9,0.3,Random forest
RF22,9,0.3,Random forest
RF23,9,0.3,Random forest
RF24,9,0.3,Random forest
Ridge,9,0.3,Penalized regression
SVM1,9,0.3,Support vector regression
NNet4,8,0.266666666666667,Neural network
NNet13,8,0.266666666666667,Neural network
NNet25,8,0.266666666666667,Neural network
RF1,8,0.266666666666667,Random forest
RF2,8,0.266666666666667,Random forest
RF3,8,0.266666666666667,Random forest
RF10,8,0.266666666666667,Random forest
RF11,8,0.266666666666667,Random forest
RF12,8,0.266666666666667,Random forest
RF20,8,0.266666666666667,Random forest
RF21,8,0.266666666666667,Random forest
SVM4,7,0.233333333333333,Support vector regression
