Week,SuperLearner,DiscreteSL,Mean
01,1.64 (0.163),1.62 (0.161),1.62 (0.161)
02,1.65 (0.165),1.59 (0.156),1.62 (0.161)
03,1.58 (0.162),1.57 (0.163),1.62 (0.161)
04,1.81 (0.179),1.62 (0.161),1.62 (0.161)
05,1.70 (0.165),1.45 (0.167),1.62 (0.161)
06,1.95 (0.174),1.55 (0.176),1.62 (0.161)
07,1.64 (0.183),1.49 (0.166),1.62 (0.161)
08,1.98 (0.173),1.58 (0.157),1.62 (0.161)
09,1.67 (0.178),1.24 (0.171),1.62 (0.161)
10,1.97 (0.159),1.17 (0.166),1.62 (0.161)
11,1.53 (0.169),1.11 (0.159),1.62 (0.161)
12,1.47 (0.159),1.06 (0.163),1.62 (0.161)
13,1.91 (0.121),1.15 (0.165),1.62 (0.161)
14,1.46 (0.142),1.10 (0.157),1.62 (0.161)
15,1.64 (0.161),1.10 (0.157),1.62 (0.161)
16,1.38 (0.155),0.74 (0.166),1.62 (0.161)
17,1.46 (0.156),0.57 (0.164),1.62 (0.161)
18,1.46 (0.169),0.56 (0.164),1.62 (0.161)
19,1.24 (0.189),0.37 (0.164),1.62 (0.161)
20,1.21 (0.175),0.26 (0.158),1.62 (0.161)
21,1.59 (0.148),0.14 (0.158),1.62 (0.161)
22,1.57 (0.195),0.31 (0.164),1.62 (0.161)
23,1.55 (0.173),0.33 (0.165),1.62 (0.161)
24,1.55 (0.180),0.22 (0.161),1.62 (0.161)
25,1.49 (0.178),0.16 (0.158),1.62 (0.161)
26,1.45 (0.176),0.30 (0.158),1.62 (0.161)
27,1.51 (0.156),0.34 (0.161),1.62 (0.161)
28,1.23 (0.166),0.36 (0.154),1.62 (0.161)
29,1.30 (0.183),0.36 (0.154),1.62 (0.161)
30,1.29 (0.177),0.36 (0.154),1.62 (0.161)
