Week,SuperLearner,DiscreteSL,Mean
01,1.79 (0.175),1.41 (0.177),1.68 (0.153)
02,1.58 (0.164),1.42 (0.170),1.68 (0.153)
03,1.94 (0.164),1.63 (0.171),1.68 (0.153)
04,1.87 (0.178),1.68 (0.153),1.68 (0.153)
05,1.99 (0.147),1.39 (0.173),1.68 (0.153)
06,1.80 (0.164),1.57 (0.152),1.68 (0.153)
07,1.84 (0.169),1.51 (0.174),1.68 (0.153)
08,1.96 (0.149),1.49 (0.181),1.68 (0.153)
09,1.76 (0.173),1.32 (0.165),1.68 (0.153)
10,1.96 (0.207),1.34 (0.159),1.68 (0.153)
11,1.78 (0.155),0.98 (0.147),1.68 (0.153)
12,1.72 (0.137),1.03 (0.170),1.68 (0.153)
13,1.81 (0.138),0.99 (0.172),1.68 (0.153)
14,1.52 (0.167),1.30 (0.135),1.68 (0.153)
15,1.60 (0.171),1.20 (0.154),1.68 (0.153)
16,1.36 (0.172),0.80 (0.173),1.68 (0.153)
17,1.63 (0.154),0.56 (0.165),1.68 (0.153)
18,1.46 (0.169),0.45 (0.158),1.68 (0.153)
19,1.45 (0.168),0.40 (0.157),1.68 (0.153)
20,1.51 (0.166),0.37 (0.158),1.68 (0.153)
21,1.33 (0.163),0.28 (0.157),1.68 (0.153)
22,1.43 (0.193),0.32 (0.152),1.68 (0.153)
23,1.60 (0.150),0.39 (0.152),1.68 (0.153)
24,1.41 (0.154),0.15 (0.150),1.68 (0.153)
25,1.50 (0.174),0.20 (0.147),1.68 (0.153)
26,1.54 (0.188),0.35 (0.151),1.68 (0.153)
27,1.35 (0.168),0.39 (0.153),1.68 (0.153)
28,1.28 (0.183),0.43 (0.153),1.68 (0.153)
29,1.33 (0.182),0.41 (0.156),1.68 (0.153)
30,1.63 (0.152),0.39 (0.153),1.68 (0.153)
