Week,SuperLearner,DiscreteSL,Mean
01,3.06 (0.385),2.25 (0.329),3.21 (0.392)
02,3.94 (0.371),2.27 (0.327),3.21 (0.392)
03,2.86 (0.365),2.27 (0.327),3.21 (0.392)
04,3.18 (0.382),2.27 (0.327),3.21 (0.392)
05,3.96 (0.349),2.27 (0.327),3.21 (0.392)
06,4.56 (0.311),2.27 (0.327),3.21 (0.392)
07,4.72 (0.339),2.27 (0.327),3.21 (0.392)
08,2.96 (0.389),2.27 (0.327),3.21 (0.392)
09,3.59 (0.354),2.27 (0.327),3.21 (0.392)
10,3.75 (0.342),2.27 (0.327),3.21 (0.392)
11,3.72 (0.341),2.27 (0.327),3.21 (0.392)
12,3.63 (0.350),2.27 (0.327),3.21 (0.392)
13,3.59 (0.349),2.27 (0.327),3.21 (0.392)
14,3.12 (0.373),2.27 (0.327),3.21 (0.392)
15,3.91 (0.349),2.27 (0.327),3.21 (0.392)
16,4.13 (0.340),2.22 (0.376),3.21 (0.392)
17,3.93 (0.325),2.07 (0.368),3.21 (0.392)
18,4.55 (0.301),1.50 (0.313),3.21 (0.392)
19,3.91 (0.394),1.60 (0.303),3.21 (0.392)
20,2.84 (0.382),1.52 (0.353),3.21 (0.392)
21,3.09 (0.358),1.48 (0.299),3.21 (0.392)
22,3.53 (0.369),1.39 (0.317),3.21 (0.392)
23,3.18 (0.347),1.37 (0.315),3.21 (0.392)
24,3.09 (0.386),1.35 (0.312),3.21 (0.392)
25,3.38 (0.384),1.38 (0.291),3.21 (0.392)
26,3.57 (0.382),1.25 (0.312),3.21 (0.392)
27,3.79 (0.379),1.24 (0.292),3.21 (0.392)
28,3.22 (0.394),1.31 (0.312),3.21 (0.392)
29,3.22 (0.382),1.24 (0.305),3.21 (0.392)
30,2.95 (0.382),1.32 (0.305),3.21 (0.392)
