lid,cnt_selected,P,lclass
RF09,14,0.466666666666667,Random forest
EN1,12,0.4,Penalized regression
EN3,12,0.4,Penalized regression
RF01,12,0.4,Random forest
RF02,12,0.4,Random forest
RF03,11,0.366666666666667,Random forest
RF04,10,0.333333333333333,Random forest
RF05,10,0.333333333333333,Random forest
RF07,10,0.333333333333333,Random forest
RF08,9,0.3,Random forest
EN2,8,0.266666666666667,Penalized regression
RF06,8,0.266666666666667,Random forest
RF10,8,0.266666666666667,Random forest
RF14,8,0.266666666666667,Random forest
RF17,8,0.266666666666667,Random forest
RF18,7,0.233333333333333,Random forest
RF19,7,0.233333333333333,Random forest
RF20,7,0.233333333333333,Random forest
RF22,7,0.233333333333333,Random forest
RF25,7,0.233333333333333,Random forest
RF26,7,0.233333333333333,Random forest
RF11,6,0.2,Random forest
RF12,6,0.2,Random forest
RF13,6,0.2,Random forest
RF15,6,0.2,Random forest
RF16,6,0.2,Random forest
RF21,6,0.2,Random forest
RF23,6,0.2,Random forest
RF24,6,0.2,Random forest
RF27,6,0.2,Random forest
