lid,cnt_selected,P,lclass
SVM3,19,0.633333333333333,Support vector regression
PMARS1,13,0.433333333333333,PolyMARS
PMARS4,13,0.433333333333333,PolyMARS
PMARS5,13,0.433333333333333,PolyMARS
SVM2,13,0.433333333333333,Support vector regression
ScreenGLM,12,0.4,GLM
SVM1,12,0.4,Support vector regression
RF07,11,0.366666666666667,Random forest
Ridge,11,0.366666666666667,Penalized regression
NNet16,10,0.333333333333333,Neural network
NNet23,10,0.333333333333333,Neural network
NNet29,10,0.333333333333333,Neural network
PMARS3,10,0.333333333333333,PolyMARS
RF16,10,0.333333333333333,Random forest
EN3,9,0.3,Penalized regression
LASSO,9,0.3,Penalized regression
NNet04,9,0.3,Neural network
NNet05,9,0.3,Neural network
NNet08,9,0.3,Neural network
NNet13,9,0.3,Neural network
NNet17,9,0.3,Neural network
NNet21,9,0.3,Neural network
NNet28,9,0.3,Neural network
LOESS1,8,0.266666666666667,LOESS
LOESS2,8,0.266666666666667,LOESS
LOESS3,8,0.266666666666667,LOESS
LOESS4,8,0.266666666666667,LOESS
NNet06,8,0.266666666666667,Neural network
NNet10,8,0.266666666666667,Neural network
NNet14,8,0.266666666666667,Neural network
NNet18,8,0.266666666666667,Neural network
NNet25,8,0.266666666666667,Neural network
NNet27,8,0.266666666666667,Neural network
RF02,8,0.266666666666667,Random forest
RF08,8,0.266666666666667,Random forest
RF22,8,0.266666666666667,Random forest
RF25,8,0.266666666666667,Random forest
RF27,8,0.266666666666667,Random forest
EN1,7,0.233333333333333,Penalized regression
NNet01,7,0.233333333333333,Neural network
NNet03,7,0.233333333333333,Neural network
NNet09,7,0.233333333333333,Neural network
NNet11,7,0.233333333333333,Neural network
NNet12,7,0.233333333333333,Neural network
NNet20,7,0.233333333333333,Neural network
NNet26,7,0.233333333333333,Neural network
NNet30,7,0.233333333333333,Neural network
PMARS2,7,0.233333333333333,PolyMARS
RF03,7,0.233333333333333,Random forest
RF04,7,0.233333333333333,Random forest
RF06,7,0.233333333333333,Random forest
RF09,7,0.233333333333333,Random forest
RF10,7,0.233333333333333,Random forest
RF13,7,0.233333333333333,Random forest
RF14,7,0.233333333333333,Random forest
RF18,7,0.233333333333333,Random forest
RF19,7,0.233333333333333,Random forest
RF26,7,0.233333333333333,Random forest
SVM4,7,0.233333333333333,Support vector regression
EN2,6,0.2,Penalized regression
NNet02,6,0.2,Neural network
NNet07,6,0.2,Neural network
NNet15,6,0.2,Neural network
NNet19,6,0.2,Neural network
NNet22,6,0.2,Neural network
NNet24,6,0.2,Neural network
RF01,6,0.2,Random forest
RF05,6,0.2,Random forest
RF11,6,0.2,Random forest
RF12,6,0.2,Random forest
RF15,6,0.2,Random forest
RF17,6,0.2,Random forest
RF20,6,0.2,Random forest
RF21,6,0.2,Random forest
RF23,6,0.2,Random forest
RF24,6,0.2,Random forest
