lid,cnt_selected,P,lclass
SVM2,26,0.866666666666667,Support vector regression
NNet15,13,0.433333333333333,Neural network
NNet21,13,0.433333333333333,Neural network
NNet25,13,0.433333333333333,Neural network
NNet24,12,0.4,Neural network
NNet30,12,0.4,Neural network
PMARS5,12,0.4,PolyMARS
RF04,12,0.4,Random forest
RF07,12,0.4,Random forest
NNet01,11,0.366666666666667,Neural network
NNet04,11,0.366666666666667,Neural network
NNet06,11,0.366666666666667,Neural network
NNet11,11,0.366666666666667,Neural network
NNet19,11,0.366666666666667,Neural network
NNet20,11,0.366666666666667,Neural network
RF10,11,0.366666666666667,Random forest
RF19,11,0.366666666666667,Random forest
RF26,11,0.366666666666667,Random forest
NNet03,10,0.333333333333333,Neural network
NNet14,10,0.333333333333333,Neural network
NNet18,10,0.333333333333333,Neural network
NNet26,10,0.333333333333333,Neural network
NNet27,10,0.333333333333333,Neural network
NNet29,10,0.333333333333333,Neural network
PMARS1,10,0.333333333333333,PolyMARS
PMARS4,10,0.333333333333333,PolyMARS
RF02,10,0.333333333333333,Random forest
RF05,10,0.333333333333333,Random forest
RF14,10,0.333333333333333,Random forest
RF17,10,0.333333333333333,Random forest
LOESS1,9,0.3,LOESS
LOESS2,9,0.3,LOESS
LOESS3,9,0.3,LOESS
LOESS4,9,0.3,LOESS
NNet02,9,0.3,Neural network
NNet08,9,0.3,Neural network
NNet09,9,0.3,Neural network
NNet12,9,0.3,Neural network
NNet17,9,0.3,Neural network
NNet22,9,0.3,Neural network
NNet28,9,0.3,Neural network
RF01,9,0.3,Random forest
RF06,9,0.3,Random forest
RF08,9,0.3,Random forest
RF11,9,0.3,Random forest
RF13,9,0.3,Random forest
RF21,9,0.3,Random forest
RF22,9,0.3,Random forest
RF23,9,0.3,Random forest
RF25,9,0.3,Random forest
SVM3,9,0.3,Support vector regression
NNet05,8,0.266666666666667,Neural network
NNet07,8,0.266666666666667,Neural network
NNet10,8,0.266666666666667,Neural network
NNet16,8,0.266666666666667,Neural network
NNet23,8,0.266666666666667,Neural network
PMARS3,8,0.266666666666667,PolyMARS
RF03,8,0.266666666666667,Random forest
RF09,8,0.266666666666667,Random forest
RF12,8,0.266666666666667,Random forest
RF16,8,0.266666666666667,Random forest
RF18,8,0.266666666666667,Random forest
RF20,8,0.266666666666667,Random forest
RF24,8,0.266666666666667,Random forest
RF27,8,0.266666666666667,Random forest
SVM1,8,0.266666666666667,Support vector regression
NNet13,7,0.233333333333333,Neural network
PMARS2,7,0.233333333333333,PolyMARS
RF15,7,0.233333333333333,Random forest
Ridge,7,0.233333333333333,Penalized regression
EN1,6,0.2,Penalized regression
EN2,6,0.2,Penalized regression
EN3,6,0.2,Penalized regression
LASSO,6,0.2,Penalized regression
ScreenGLM,6,0.2,GLM
SVM4,6,0.2,Support vector regression
