lid,cnt_selected,P,lclass
EN3,15,0.5,Penalized regression
EN1,14,0.466666666666667,Penalized regression
EN2,12,0.4,Penalized regression
RF01,12,0.4,Random forest
RF04,12,0.4,Random forest
RF07,12,0.4,Random forest
RF08,12,0.4,Random forest
RF02,11,0.366666666666667,Random forest
RF14,9,0.3,Random forest
RF03,8,0.266666666666667,Random forest
RF06,8,0.266666666666667,Random forest
RF09,7,0.233333333333333,Random forest
RF19,7,0.233333333333333,Random forest
RF05,6,0.2,Random forest
RF10,6,0.2,Random forest
RF11,6,0.2,Random forest
RF13,6,0.2,Random forest
RF16,6,0.2,Random forest
RF22,6,0.2,Random forest
RF26,6,0.2,Random forest
RF27,6,0.2,Random forest
RF12,5,0.166666666666667,Random forest
RF15,5,0.166666666666667,Random forest
RF17,5,0.166666666666667,Random forest
RF18,5,0.166666666666667,Random forest
RF20,5,0.166666666666667,Random forest
RF21,5,0.166666666666667,Random forest
RF23,5,0.166666666666667,Random forest
RF24,5,0.166666666666667,Random forest
RF25,5,0.166666666666667,Random forest
