lid,cnt_selected,P,lclass
SVM2,22,0.733333333333333,Support vector regression
SVM3,14,0.466666666666667,Support vector regression
NNet27,13,0.433333333333333,Neural network
NNet18,12,0.4,Neural network
PMARS3,12,0.4,PolyMARS
PMARS4,12,0.4,PolyMARS
SVM4,12,0.4,Support vector regression
PMARS2,11,0.366666666666667,PolyMARS
LOESS1,10,0.333333333333333,LOESS
LOESS2,10,0.333333333333333,LOESS
LOESS3,10,0.333333333333333,LOESS
LOESS4,10,0.333333333333333,LOESS
NNet03,10,0.333333333333333,Neural network
NNet24,10,0.333333333333333,Neural network
PMARS5,10,0.333333333333333,PolyMARS
NNet02,9,0.3,Neural network
NNet04,9,0.3,Neural network
NNet15,9,0.3,Neural network
NNet16,9,0.3,Neural network
NNet19,9,0.3,Neural network
NNet20,9,0.3,Neural network
NNet23,9,0.3,Neural network
NNet28,9,0.3,Neural network
NNet09,8,0.266666666666667,Neural network
NNet10,8,0.266666666666667,Neural network
NNet11,8,0.266666666666667,Neural network
NNet12,8,0.266666666666667,Neural network
NNet25,8,0.266666666666667,Neural network
NNet26,8,0.266666666666667,Neural network
ScreenGLM,8,0.266666666666667,GLM
SVM1,8,0.266666666666667,Support vector regression
NNet05,7,0.233333333333333,Neural network
NNet08,7,0.233333333333333,Neural network
NNet13,7,0.233333333333333,Neural network
NNet21,7,0.233333333333333,Neural network
NNet22,7,0.233333333333333,Neural network
NNet29,7,0.233333333333333,Neural network
NNet30,7,0.233333333333333,Neural network
Ridge,7,0.233333333333333,Penalized regression
NNet07,6,0.2,Neural network
NNet17,6,0.2,Neural network
PMARS1,6,0.2,PolyMARS
EN1,5,0.166666666666667,Penalized regression
NNet01,5,0.166666666666667,Neural network
NNet06,5,0.166666666666667,Neural network
NNet14,5,0.166666666666667,Neural network
EN2,4,0.133333333333333,Penalized regression
EN3,4,0.133333333333333,Penalized regression
RF05,4,0.133333333333333,Random forest
RF17,4,0.133333333333333,Random forest
LASSO,3,0.1,Penalized regression
RF01,3,0.1,Random forest
RF02,3,0.1,Random forest
RF03,3,0.1,Random forest
RF04,3,0.1,Random forest
RF06,3,0.1,Random forest
RF07,3,0.1,Random forest
RF08,3,0.1,Random forest
RF09,3,0.1,Random forest
RF10,3,0.1,Random forest
RF11,3,0.1,Random forest
RF12,3,0.1,Random forest
RF13,3,0.1,Random forest
RF14,3,0.1,Random forest
RF15,3,0.1,Random forest
RF16,3,0.1,Random forest
RF18,3,0.1,Random forest
RF19,3,0.1,Random forest
RF20,3,0.1,Random forest
RF21,3,0.1,Random forest
RF22,3,0.1,Random forest
RF23,3,0.1,Random forest
RF24,3,0.1,Random forest
RF25,3,0.1,Random forest
RF26,3,0.1,Random forest
RF27,3,0.1,Random forest
