Week,SuperLearner,DiscreteSL
01,29.06 (0.169),28.33 (0.164)
02,28.80 (0.165),29.56 (0.174)
03,27.94 (0.169),27.96 (0.169)
04,27.60 (0.170),27.66 (0.168)
05,28.08 (0.174),28.08 (0.174)
06,24.45 (0.165),24.45 (0.165)
07,25.84 (0.187),25.84 (0.187)
08,24.33 (0.168),24.35 (0.169)
09,26.15 (0.209),26.20 (0.212)
10,22.54 (0.159),23.34 (0.167)
11,21.04 (0.136),23.23 (0.162)
12,20.79 (0.15),22.25 (0.16)
13,17.37 (0.128),19.95 (0.160)
14,16.55 (0.129),19.35 (0.164)
15,18.28 (0.132),18.91 (0.144)
16,17.72 (0.131),18.75 (0.146)
17,14.99 (0.124),17.81 (0.133)
18,11.67 (0.090),12.69 (0.107)
19,10.64 (0.100),11.51 (0.113)
20,9.53 (0.080),9.71 (0.091)
21,8.85 (0.078),8.85 (0.077)
22,6.88 (0.058),6.78 (0.058)
23,5.85 (0.050),6.31 (0.053)
24,3.29 (0.027),3.64 (0.032)
25,1.89 (0.018),1.94 (0.017)
26,1.76 (0.016),1.84 (0.014)
27,0.95 (0.008),0.95 (0.008)
28,0.79 (0.008),0.91 (0.007)
29,0.45 (0.009),0.45 (0.009)
30,0.11 (0.006),0.11 (0.006)
