Week,SuperLearnerCV,DiscreteSL
01,29.17 (0.169),28.33 (0.164)
02,29.91 (0.173),29.56 (0.174)
03,28.65 (0.170),27.96 (0.169)
04,28.47 (0.177),27.66 (0.168)
05,28.26 (0.176),28.08 (0.174)
06,24.74 (0.166),24.45 (0.165)
07,26.22 (0.190),25.84 (0.187)
08,24.78 (0.170),24.35 (0.169)
09,26.75 (0.211),26.20 (0.212)
10,25.35 (0.190),23.34 (0.167)
11,25.48 (0.189),23.23 (0.162)
12,22.96 (0.16),22.25 (0.16)
13,19.36 (0.139),19.95 (0.160)
14,17.77 (0.129),19.35 (0.164)
15,21.07 (0.142),18.91 (0.144)
16,21.77 (0.151),18.75 (0.146)
17,16.17 (0.128),17.81 (0.133)
18,13.84 (0.101),12.69 (0.107)
19,12.14 (0.101),11.51 (0.113)
20,11.53 (0.092), 9.71 (0.091)
21,10.52 (0.092), 8.85 (0.077)
22,7.91 (0.069),6.78 (0.058)
23,6.33 (0.049),6.31 (0.053)
24,3.90 (0.032),3.64 (0.032)
25,2.13 (0.020),1.94 (0.017)
26,1.92 (0.016),1.84 (0.014)
27,1.02 (0.009),0.95 (0.008)
28,0.90 (0.009),0.91 (0.007)
29,0.45 (0.009),0.45 (0.009)
30,0.11 (0.007),0.11 (0.006)
