Week,SuperLearner,DiscreteSL,Mean
01,22.31 (2.637),19.24 (2.396),19.24 (2.396)
02,19.61 (2.499),16.72 (2.283),19.24 (2.396)
03,18.93 (2.687),17.99 (2.555),19.24 (2.396)
04,20.48 (2.520),16.32 (2.490),19.24 (2.396)
05,20.39 (2.169),17.56 (2.631),19.24 (2.396)
06,20.68 (2.290),16.00 (2.841),19.24 (2.396)
07,22.48 (2.623),17.01 (2.224),19.24 (2.396)
08,22.65 (2.707),16.60 (2.271),19.24 (2.396)
09,18.59 (2.572),14.52 (2.351),19.24 (2.396)
10,18.47 (2.174),14.40 (2.323),19.24 (2.396)
11,16.38 (2.578),11.96 (2.235),19.24 (2.396)
12,18.90 (2.348),12.03 (2.383),19.24 (2.396)
13,16.17 (2.257),13.99 (2.187),19.24 (2.396)
14,16.45 (2.132),14.77 (2.289),19.24 (2.396)
15,19.33 (2.268),14.77 (2.289),19.24 (2.396)
16,14.83 (2.525),12.08 (2.229),19.24 (2.396)
17,18.18 (2.306), 7.90 (2.311),19.24 (2.396)
18,16.71 (2.344), 9.00 (2.250),19.24 (2.396)
19,15.73 (2.566), 4.16 (2.265),19.24 (2.396)
20,18.53 (2.443), 3.53 (2.188),19.24 (2.396)
21,21.26 (2.198), 3.27 (2.154),19.24 (2.396)
22,15.39 (2.560), 2.56 (2.223),19.24 (2.396)
23,18.44 (2.245), 2.11 (2.143),19.24 (2.396)
24,16.32 (2.483), 1.52 (2.216),19.24 (2.396)
25,16.57 (2.485), 1.30 (2.202),19.24 (2.396)
26,19.79 (2.540), 0.84 (2.199),19.24 (2.396)
27,18.59 (2.614), 0.35 (2.192),19.24 (2.396)
28,19.68 (2.450), 0.34 (2.185),19.24 (2.396)
29,17.05 (2.600), 0.08 (2.185),19.24 (2.396)
30,15.81 (2.309), 0.00 (2.185),19.24 (2.396)
