Week,SuperLearner,DiscreteSL
01,29.43 (0.184),28.55 (0.194)
02,28.09 (0.169),27.97 (0.164)
03,27.46 (0.164),27.12 (0.161)
04,26.46 (0.162),25.80 (0.158)
05,25.82 (0.161),24.61 (0.151)
06,25.37 (0.162),24.31 (0.156)
07,22.83 (0.156),23.96 (0.159)
08,22.61 (0.150),23.37 (0.153)
09,22.73 (0.150),24.42 (0.162)
10,22.67 (0.145),24.07 (0.167)
11,23.00 (0.153),24.05 (0.195)
12,22.85 (0.139),24.27 (0.168)
13,23.48 (0.147),24.13 (0.160)
14,22.43 (0.133),24.54 (0.162)
15,21.25 (0.139),22.76 (0.140)
16,20.26 (0.143),21.05 (0.146)
17,14.88 (0.106),16.00 (0.125)
18,11.24 (0.102),11.33 (0.105)
19,10.06 (0.091),10.94 (0.100)
20,8.01 (0.078),9.37 (0.081)
21,7.24 (0.069),9.03 (0.082)
22,4.35 (0.041),4.77 (0.043)
23,4.09 (0.041),4.15 (0.041)
24,2.11 (0.019),2.39 (0.019)
25,1.48 (0.014),1.54 (0.012)
26,1.14 (0.011),1.17 (0.010)
27,0.77 (0.007),0.96 (0.007)
28,0.54 (0.004),0.59 (0.005)
29,0.22 (0.002),0.23 (0.002)
30,0 (0),0 (0)
