Week,SuperLearnerCV,DiscreteSL
01,29.37 (0.184),28.55 (0.194)
02,28.21 (0.169),27.97 (0.164)
03,27.50 (0.165),27.12 (0.161)
04,26.25 (0.161),25.80 (0.158)
05,25.84 (0.161),24.61 (0.151)
06,25.28 (0.159),24.31 (0.156)
07,25.82 (0.175),23.96 (0.159)
08,28.86 (0.352),23.37 (0.153)
09,26.35 (0.238),24.42 (0.162)
10,25.57 (0.156),24.07 (0.167)
11,26.47 (0.167),24.05 (0.195)
12,26.49 (0.175),24.27 (0.168)
13,25.82 (0.168),24.13 (0.160)
14,27.82 (0.167),24.54 (0.162)
15,24.28 (0.154),22.76 (0.140)
16,21.93 (0.145),21.05 (0.146)
17,16.59 (0.119),16.00 (0.125)
18,12.66 (0.110),11.33 (0.105)
19,12.12 (0.100),10.94 (0.100)
20,9.87 (0.085),9.37 (0.081)
21,10.43 (0.084), 9.03 (0.082)
22,5.55 (0.047),4.77 (0.043)
23,4.69 (0.045),4.15 (0.041)
24,3.46 (0.037),2.39 (0.019)
25,1.77 (0.017),1.54 (0.012)
26,1.52 (0.017),1.17 (0.010)
27,1.03 (0.009),0.96 (0.007)
28,0.63 (0.005),0.59 (0.005)
29,0.26 (0.003),0.23 (0.002)
30,0 (0),0 (0)
