Week,SuperLearner,DiscreteSL,Mean
01,20.43 (2.614),16.32 (2.434),19.58 (2.437)
02,18.37 (2.768),16.81 (2.362),19.58 (2.437)
03,20.85 (2.657),16.62 (2.417),19.58 (2.437)
04,24.29 (2.355),18.57 (2.498),19.58 (2.437)
05,23.63 (2.387),17.19 (2.603),19.58 (2.437)
06,21.99 (2.625),15.77 (2.275),19.58 (2.437)
07,21.15 (2.385),16.13 (2.168),19.58 (2.437)
08,22.81 (2.658),17.47 (2.580),19.58 (2.437)
09,20.44 (2.499),15.05 (2.425),19.58 (2.437)
10,17.40 (2.755),14.33 (2.192),19.58 (2.437)
11,21.52 (2.510),12.01 (2.341),19.58 (2.437)
12,22.90 (2.107),12.37 (2.524),19.58 (2.437)
13,17.37 (2.387),12.50 (2.588),19.58 (2.437)
14,21.01 (2.249),13.91 (2.927),19.58 (2.437)
15,17.36 (2.368),13.49 (2.438),19.58 (2.437)
16,16.85 (2.532),10.21 (2.593),19.58 (2.437)
17,16.80 (2.611), 6.81 (2.409),19.58 (2.437)
18,15.13 (2.677), 6.64 (2.354),19.58 (2.437)
19,13.48 (2.658), 4.59 (2.308),19.58 (2.437)
20,18.03 (2.524), 3.71 (2.234),19.58 (2.437)
21,16.30 (2.517), 3.16 (2.229),19.58 (2.437)
22,18.25 (2.597), 2.30 (2.238),19.58 (2.437)
23,17.89 (2.551), 2.19 (2.218),19.58 (2.437)
24,15.39 (2.620), 1.45 (2.223),19.58 (2.437)
25,18.12 (2.460), 1.30 (2.228),19.58 (2.437)
26,17.29 (2.600), 0.98 (2.219),19.58 (2.437)
27,18.59 (2.349), 0.61 (2.212),19.58 (2.437)
28,20.59 (2.440), 0.30 (2.211),19.58 (2.437)
29,14.56 (2.698), 0.09 (2.201),19.58 (2.437)
30,15.27 (2.480), 0.00 (2.203),19.58 (2.437)
