Week,SuperLearner,DiscreteSL
01,28.15 (0.164),27.48 (0.182)
02,26.95 (0.167),28.16 (0.157)
03,26.21 (0.157),27.94 (0.169)
04,25.86 (0.152),27.20 (0.159)
05,26.04 (0.151),27.89 (0.172)
06,23.92 (0.158),24.42 (0.167)
07,24.68 (0.163),25.62 (0.185)
08,23.17 (0.142),24.44 (0.168)
09,23.21 (0.148),25.24 (0.159)
10,17.79 (0.115),20.44 (0.131)
11,17.22 (0.123),22.03 (0.166)
12,18.39 (0.135),22.34 (0.163)
13,15.92 (0.120),18.84 (0.135)
14,16.27 (0.118),19.35 (0.164)
15,16.31 (0.127),17.50 (0.145)
16,15.50 (0.125),18.93 (0.151)
17,13.88 (0.133),15.08 (0.159)
18, 9.14 (0.076),10.95 (0.098)
19,6.75 (0.055),8.34 (0.059)
20,8.99 (0.068),9.78 (0.091)
21,8.18 (0.066),8.96 (0.079)
22,5.14 (0.033),6.29 (0.057)
23,4.68 (0.043),4.83 (0.044)
24,2.57 (0.023),3.13 (0.025)
25,1.67 (0.018),1.86 (0.017)
26,1.47 (0.014),1.74 (0.013)
27,0.62 (0.006),0.70 (0.006)
28,0.40 (0.005),0.54 (0.005)
29,0.19 (0.002),0.21 (0.002)
30,0 (0),0 (0)
