Week,SuperLearnerCV,DiscreteSL
01,28.27 (0.165),27.48 (0.182)
02,29.22 (0.190),28.39 (0.185)
03,29.45 (0.178),27.94 (0.169)
04,34.84 (0.394),27.54 (0.168)
05,32.82 (0.211),27.89 (0.172)
06,37.93 (0.776),24.42 (0.167)
07,27.38 (0.187),25.62 (0.185)
08,26.20 (0.160),24.44 (0.168)
09,28.03 (0.191),26.20 (0.206)
10,24.44 (0.174),23.40 (0.169)
11,19.73 (0.146),22.34 (0.175)
12,21.19 (0.149),22.34 (0.163)
13,25.92 (0.349),19.95 (0.160)
14,19.69 (0.164),19.35 (0.164)
15,20.41 (0.145),17.50 (0.145)
16,21.05 (0.145),18.93 (0.151)
17,17.41 (0.157),15.08 (0.159)
18,15.75 (0.141),10.95 (0.098)
19,10.41 (0.084), 8.34 (0.059)
20,13.62 (0.135), 9.78 (0.091)
21,12.37 (0.087), 8.96 (0.079)
22, 7.87 (0.060), 6.29 (0.057)
23, 5.39 (0.045), 4.83 (0.044)
24, 3.99 (0.034), 3.13 (0.025)
25, 2.00 (0.021), 1.86 (0.017)
26, 1.95 (0.017), 1.74 (0.013)
27, 0.79 (0.007), 0.70 (0.006)
28, 0.58 (0.006), 0.54 (0.005)
29, 0.28 (0.003), 0.21 (0.002)
30, 0.00 (0.000), 0.00 (0.000)
