Week,SuperLearner,DiscreteSL
01,2.73 (0.015),2.67 (0.015)
02,2.68 (0.016),2.67 (0.016)
03,2.58 (0.016),2.58 (0.016)
04,2.58 (0.017),2.58 (0.017)
05,2.42 (0.015),2.42 (0.015)
06,2.39 (0.015),2.39 (0.015)
07,2.48 (0.016),2.48 (0.016)
08,2.49 (0.018),2.44 (0.017)
09,2.63 (0.019),2.63 (0.019)
10,2.15 (0.016),2.31 (0.017)
11,2.01 (0.014),2.19 (0.022)
12,1.85 (0.014),2.08 (0.015)
13,1.71 (0.014),1.83 (0.014)
14,1.77 (0.014),1.91 (0.014)
15,2.04 (0.016),2.03 (0.016)
16,1.76 (0.015),1.75 (0.016)
17,1.39 (0.013),1.55 (0.016)
18,1.23 (0.013),1.26 (0.014)
19,1.43 (0.016),1.44 (0.016)
20,0.92 (0.010),1.10 (0.012)
21,0.79 (0.009),0.79 (0.009)
22,0.41 (0.006),0.43 (0.006)
23,0.42 (0.006),0.42 (0.006)
24,0.37 (0.004),0.37 (0.004)
25,0.39 (0.004),0.39 (0.004)
26,0.41 (0.005),0.42 (0.005)
27,0.5 (0.006),0.5 (0.006)
28,0.49 (0.005),0.49 (0.005)
29,0.48 (0.005),0.48 (0.005)
30,0.44 (0.004),0.44 (0.004)
