Week,SuperLearnerCV,DiscreteSL
01,2.73 (0.015),2.67 (0.015)
02,2.67 (0.015),2.67 (0.016)
03,2.63 (0.016),2.59 (0.016)
04,2.68 (0.018),2.60 (0.017)
05,2.51 (0.016),2.41 (0.015)
06,2.37 (0.015),2.36 (0.016)
07,2.56 (0.017),2.50 (0.016)
08,2.51 (0.018),2.48 (0.017)
09,2.64 (0.019),2.58 (0.019)
10,2.26 (0.017),2.24 (0.017)
11,2.27 (0.016),2.21 (0.016)
12,1.98 (0.015),2.15 (0.015)
13,1.84 (0.015),1.91 (0.015)
14,1.97 (0.015),2.02 (0.015)
15,2.12 (0.017),1.99 (0.016)
16,1.79 (0.014),1.71 (0.015)
17,1.61 (0.015),1.56 (0.016)
18,1.45 (0.014),1.29 (0.015)
19,1.51 (0.015),1.43 (0.015)
20,1.06 (0.011),1.05 (0.012)
21,0.83 (0.009),0.77 (0.009)
22,0.44 (0.006),0.43 (0.006)
23,0.47 (0.006),0.44 (0.006)
24,0.35 (0.004),0.33 (0.003)
25,0.36 (0.004),0.35 (0.004)
26,0.41 (0.005),0.39 (0.004)
27,0.50 (0.006),0.48 (0.005)
28,0.54 (0.006),0.50 (0.005)
29,0.55 (0.006),0.49 (0.005)
30,0.54 (0.005),0.50 (0.005)
