Week,SuperLearner,DiscreteSL
01,2.55 (0.077),2.41 (0.078)
02,2.62 (0.100),2.39 (0.087)
03,2.90 (0.083),2.41 (0.078)
04,2.28 (0.089),1.71 (0.085)
05,2.38 (0.101),2.19 (0.059)
06,3.11 (0.066),2.41 (0.078)
07,3.58 (0.044),2.32 (0.063)
08,2.28 (0.091),1.76 (0.084)
09,2.64 (0.092),1.73 (0.112)
10,3.00 (0.087),2.16 (0.122)
11,2.58 (0.071),1.78 (0.074)
12,2.09 (0.079),1.87 (0.065)
13,2.17 (0.113),1.86 (0.069)
14,2.61 (0.095),1.90 (0.092)
15,2.28 (0.103),1.65 (0.093)
16,2.36 (0.094),1.36 (0.071)
17,2.04 (0.117),0.98 (0.079)
18,2.01 (0.095),0.71 (0.068)
19,2.42 (0.084),0.78 (0.077)
20,2.38 (0.079),0.61 (0.077)
21,2.23 (0.082),0.71 (0.084)
22,2.38 (0.090),0.81 (0.079)
23,2.58 (0.093),0.89 (0.083)
24,2.50 (0.090),0.38 (0.074)
25,2.58 (0.093),0.38 (0.074)
26,2.24 (0.078),0.48 (0.078)
27,1.76 (0.096),0.75 (0.088)
28,2.41 (0.090),0.86 (0.079)
29,2.35 (0.089),0.90 (0.079)
30,2.56 (0.091),0.85 (0.076)
