Week,SuperLearnerCV,DiscreteSL
01,2.72 (0.015),2.70 (0.016)
02,2.62 (0.015),2.62 (0.015)
03,2.59 (0.015),2.55 (0.015)
04,2.48 (0.014),2.43 (0.015)
05,2.37 (0.015),2.35 (0.015)
06,2.28 (0.015),2.27 (0.015)
07,2.35 (0.017),2.26 (0.014)
08,2.42 (0.016),2.28 (0.014)
09,2.56 (0.023),2.41 (0.016)
10,2.58 (0.020),2.31 (0.015)
11,2.51 (0.017),2.37 (0.016)
12,2.35 (0.027),2.30 (0.016)
13,2.44 (0.016),2.27 (0.018)
14,2.29 (0.016),2.18 (0.017)
15,2.16 (0.016),1.95 (0.016)
16,2.00 (0.016),1.79 (0.016)
17,1.48 (0.014),1.48 (0.014)
18,1.30 (0.014),1.23 (0.014)
19,1.09 (0.012),1.00 (0.012)
20,0.86 (0.010),0.94 (0.011)
21,0.71 (0.008),0.76 (0.009)
22,0.41 (0.005),0.44 (0.006)
23,0.37 (0.004),0.38 (0.004)
24,0.31 (0.003),0.33 (0.003)
25,0.26 (0.002),0.33 (0.003)
26,0.33 (0.004),0.35 (0.003)
27,0.32 (0.003),0.35 (0.003)
28,0.39 (0.004),0.40 (0.004)
29,0.38 (0.003),0.44 (0.005)
30,0.50 (0.007),0.45 (0.004)
