Week,SuperLearner,DiscreteSL
01,2.65 (0.015),2.61 (0.016)
02,2.54 (0.015),2.64 (0.014)
03,2.50 (0.015),2.54 (0.015)
04,2.47 (0.015),2.58 (0.017)
05,2.37 (0.014),2.43 (0.015)
06,2.25 (0.014),2.39 (0.015)
07,2.31 (0.014),2.48 (0.016)
08,2.23 (0.015),2.43 (0.017)
09,2.31 (0.015),2.63 (0.019)
10,1.91 (0.015),2.06 (0.016)
11,1.44 (0.010),1.72 (0.013)
12,1.47 (0.011),1.80 (0.013)
13,1.42 (0.011),1.68 (0.014)
14,1.70 (0.013),1.91 (0.014)
15,1.72 (0.012),2.03 (0.016)
16,1.44 (0.010),1.74 (0.014)
17,0.91 (0.007),1.11 (0.008)
18,0.97 (0.009),1.24 (0.011)
19,1.02 (0.010),1.41 (0.013)
20,0.83 (0.01),1.00 (0.01)
21,0.69 (0.008),0.80 (0.009)
22,0.38 (0.005),0.43 (0.006)
23,0.39 (0.006),0.42 (0.006)
24,0.27 (0.003),0.36 (0.004)
25,0.27 (0.003),0.39 (0.004)
26,0.29 (0.003),0.41 (0.005)
27,0.30 (0.003),0.47 (0.006)
28,0.31 (0.003),0.48 (0.005)
29,0.36 (0.003),0.48 (0.005)
30,0.36 (0.003),0.44 (0.004)
