Week,SuperLearnerCV,DiscreteSL
01,2.65 (0.015),2.61 (0.016)
02,2.71 (0.016),2.63 (0.014)
03,2.60 (0.015),2.53 (0.015)
04,2.61 (0.016),2.60 (0.017)
05,2.55 (0.018),2.41 (0.015)
06,2.41 (0.016),2.36 (0.015)
07,2.49 (0.015),2.51 (0.016)
08,2.65 (0.018),2.47 (0.017)
09,2.54 (0.016),2.52 (0.017)
10,2.06 (0.015),2.10 (0.016)
11,1.96 (0.014),1.81 (0.017)
12,2.06 (0.016),2.13 (0.017)
13,2.05 (0.016),1.85 (0.015)
14,2.18 (0.015),2.04 (0.015)
15,2.21 (0.016),1.99 (0.016)
16,1.93 (0.015),1.71 (0.016)
17,1.42 (0.013),1.55 (0.016)
18,1.65 (0.014),1.29 (0.015)
19,1.74 (0.015),1.40 (0.012)
20,1.01 (0.010),0.97 (0.010)
21,0.94 (0.010),0.77 (0.009)
22,0.45 (0.006),0.43 (0.006)
23,0.48 (0.006),0.44 (0.006)
24,0.45 (0.006),0.34 (0.004)
25,0.37 (0.004),0.36 (0.004)
26,0.39 (0.004),0.39 (0.004)
27,0.48 (0.004),0.50 (0.006)
28,0.52 (0.006),0.50 (0.005)
29,0.59 (0.006),0.49 (0.005)
30,0.54 (0.005),0.49 (0.005)
