Week,SuperLearner,DiscreteSL
01,2.52 (0.608),2.42 (0.647)
02,2.41 (0.615),2.35 (0.641)
03,2.53 (0.585),2.44 (0.630)
04,2.51 (0.579),2.43 (0.575)
05,2.62 (0.610),2.09 (0.479)
06,2.42 (0.612),2.13 (0.466)
07,2.38 (0.651),2.26 (0.528)
08,2.29 (0.642),2.26 (0.494)
09,2.55 (0.608),2.28 (0.533)
10,2.54 (0.598),2.09 (0.532)
11,1.77 (0.618),1.48 (0.525)
12,2.44 (0.558),2.00 (0.444)
13,2.35 (0.566),2.25 (0.507)
14,2.24 (0.555),2.07 (0.552)
15,1.92 (0.596),1.92 (0.596)
16,2.01 (0.606),1.72 (0.451)
17,2.22 (0.585),2.15 (0.580)
18,1.67 (0.662),1.28 (0.450)
19,1.32 (0.654),1.21 (0.628)
20,1.26 (0.646),0.82 (0.522)
21,1.35 (0.606),0.76 (0.514)
22,1.65 (0.570),1.10 (0.509)
23,2.21 (0.533),1.09 (0.441)
24,1.97 (0.568),1.28 (0.450)
25,2.31 (0.541),1.12 (0.460)
26,2.01 (0.555),1.18 (0.459)
27,1.72 (0.613),1.00 (0.464)
28,1.92 (0.572),1.30 (0.481)
29,2.08 (0.569),1.15 (0.487)
30,1.80 (0.576),1.19 (0.450)
