Week,SuperLearnerCV,DiscreteSL
01,3.54 (0.019),3.54 (0.018)
02,3.59 (0.019),3.64 (0.020)
03,3.54 (0.019),3.58 (0.019)
04,3.33 (0.019),3.37 (0.020)
05,3.42 (0.019),3.39 (0.020)
06,3.03 (0.020),3.02 (0.019)
07,3.11 (0.018),3.05 (0.019)
08,2.35 (0.016),2.28 (0.015)
09,2.71 (0.017),2.67 (0.017)
10,3.26 (0.021),3.15 (0.020)
11,3.53 (0.022),3.57 (0.021)
12,3.36 (0.02),3.18 (0.02)
13,3.61 (0.023),3.52 (0.022)
14,3.76 (0.020),3.57 (0.019)
15,4.04 (0.021),3.70 (0.020)
16,3.57 (0.025),3.22 (0.026)
17,3.62 (0.024),3.26 (0.024)
18,1.97 (0.015),1.97 (0.015)
19,1.56 (0.009),1.76 (0.009)
20,1.48 (0.009),1.56 (0.009)
21,1.40 (0.008),1.41 (0.008)
22,1.39 (0.010),1.35 (0.009)
23,1.28 (0.010),1.21 (0.009)
24,1.16 (0.009),1.14 (0.009)
25,1.32 (0.01),1.25 (0.01)
26,1.61 (0.01),1.53 (0.01)
27,1.52 (0.008),1.50 (0.008)
28,1.45 (0.009),1.40 (0.008)
29,1.36 (0.009),1.31 (0.009)
30,1.47 (0.009),1.36 (0.009)
