Week,SuperLearner,DiscreteSL,Mean
01,3.17 (0.477),2.87 (0.469),2.87 (0.469)
02,3.00 (0.467),2.70 (0.392),2.87 (0.469)
03,3.43 (0.436),2.83 (0.469),2.87 (0.469)
04,4.23 (0.410),2.87 (0.469),2.87 (0.469)
05,3.61 (0.412),2.76 (0.457),2.87 (0.469)
06,3.41 (0.412),2.72 (0.419),2.87 (0.469)
07,3.27 (0.427),2.74 (0.402),2.87 (0.469)
08,3.86 (0.421),2.87 (0.469),2.87 (0.469)
09,3.98 (0.390),2.87 (0.469),2.87 (0.469)
10,3.47 (0.428),2.51 (0.440),2.87 (0.469)
11,3.34 (0.421),2.46 (0.444),2.87 (0.469)
12,4.00 (0.414),2.49 (0.450),2.87 (0.469)
13,3.58 (0.424),2.42 (0.449),2.87 (0.469)
14,3.83 (0.455),2.24 (0.479),2.87 (0.469)
15,3.68 (0.423),2.25 (0.462),2.87 (0.469)
16,3.52 (0.455),2.59 (0.462),2.87 (0.469)
17,3.45 (0.425),2.39 (0.431),2.87 (0.469)
18,3.17 (0.416),2.04 (0.457),2.87 (0.469)
19,3.52 (0.389),1.59 (0.451),2.87 (0.469)
20,3.01 (0.447),1.48 (0.405),2.87 (0.469)
21,2.95 (0.451),1.54 (0.387),2.87 (0.469)
22,3.19 (0.400),2.15 (0.430),2.87 (0.469)
23,2.93 (0.438),1.94 (0.431),2.87 (0.469)
24,3.08 (0.444),1.99 (0.442),2.87 (0.469)
25,3.23 (0.437),1.80 (0.378),2.87 (0.469)
26,2.93 (0.451),1.89 (0.425),2.87 (0.469)
27,2.98 (0.461),1.40 (0.371),2.87 (0.469)
28,2.71 (0.446),2.03 (0.436),2.87 (0.469)
29,2.76 (0.449),1.67 (0.356),2.87 (0.469)
30,3.08 (0.452),1.75 (0.375),2.87 (0.469)
