Week,SuperLearner,DiscreteSL
01,2.61 (0.737),2.13 (0.583)
02,2.57 (0.764),2.31 (0.572)
03,2.97 (0.652),2.46 (0.734)
04,3.22 (0.572),2.59 (0.746)
05,3.53 (0.480),2.60 (0.705)
06,3.00 (0.644),2.33 (0.440)
07,3.88 (0.451),2.73 (0.493)
08,2.57 (0.593),2.23 (0.545)
09,2.74 (0.573),2.13 (0.617)
10,3.09 (0.680),2.32 (0.642)
11,2.48 (0.678),2.08 (0.536)
12,2.5 (0.662),2.1 (0.626)
13,2.82 (0.705),1.86 (0.521)
14,2.37 (0.633),2.35 (0.587)
15,2.94 (0.647),1.89 (0.518)
16,3.31 (0.661),2.15 (0.567)
17,2.96 (0.653),2.09 (0.633)
18,2.85 (0.669),1.98 (0.679)
19,2.54 (0.615),1.91 (0.529)
20,2.87 (0.54),1.93 (0.68)
21,2.54 (0.605),1.92 (0.547)
22,3.08 (0.649),1.61 (0.579)
23,1.98 (0.644),2.19 (0.616)
24,2.59 (0.601),1.50 (0.545)
25,3.19 (0.614),1.45 (0.521)
26,2.86 (0.603),1.30 (0.537)
27,2.59 (0.527),1.82 (0.508)
28,2.99 (0.704),1.75 (0.497)
29,2.50 (0.594),1.28 (0.519)
30,2.66 (0.611),1.33 (0.514)
