Week,SuperLearnerCV,DiscreteSL
01,4.02 (0.024),3.74 (0.026)
02,3.77 (0.024),3.70 (0.022)
03,3.81 (0.025),3.69 (0.023)
04,3.91 (0.025),3.55 (0.024)
05,3.76 (0.025),3.64 (0.023)
06,3.79 (0.025),3.63 (0.023)
07,3.65 (0.023),3.55 (0.022)
08,3.28 (0.021),3.28 (0.022)
09,3.45 (0.024),3.24 (0.022)
10,3.36 (0.023),3.23 (0.023)
11,3.58 (0.025),3.34 (0.023)
12,3.43 (0.024),3.37 (0.026)
13,3.50 (0.024),3.20 (0.025)
14,3.61 (0.023),3.22 (0.024)
15,3.54 (0.024),3.24 (0.023)
16,4.64 (0.066),3.33 (0.027)
17,3.71 (0.025),3.15 (0.028)
18,2.33 (0.020),2.23 (0.021)
19,2.10 (0.017),1.82 (0.017)
20,1.74 (0.017),1.63 (0.017)
21,1.67 (0.017),1.36 (0.016)
22,1.38 (0.015),1.18 (0.015)
23,1.45 (0.016),1.13 (0.014)
24,1.39 (0.015),1.08 (0.015)
25,1.55 (0.015),1.30 (0.015)
26,1.33 (0.014),1.22 (0.014)
27,1.54 (0.015),1.25 (0.014)
28,1.53 (0.014),1.22 (0.013)
29,1.46 (0.014),1.23 (0.013)
30,1.59 (0.014),1.33 (0.014)
