Week,SuperLearner,DiscreteSL
01,3.52 (0.017),3.34 (0.022)
02,3.42 (0.019),3.55 (0.017)
03,3.42 (0.019),3.58 (0.017)
04,3.19 (0.019),3.37 (0.019)
05,3.29 (0.019),3.38 (0.020)
06,2.94 (0.019),3.04 (0.019)
07,3.00 (0.018),3.08 (0.019)
08,2.17 (0.015),2.27 (0.015)
09,2.30 (0.017),2.57 (0.019)
10,2.80 (0.019),3.08 (0.020)
11,2.77 (0.02),3.04 (0.02)
12,2.42 (0.020),2.59 (0.021)
13,2.97 (0.022),3.16 (0.026)
14,3.10 (0.018),3.42 (0.019)
15,3.14 (0.018),3.54 (0.020)
16,2.75 (0.021),3.01 (0.022)
17,2.52 (0.019),2.71 (0.020)
18,1.18 (0.010),1.72 (0.012)
19,1.02 (0.009),1.50 (0.009)
20,1.28 (0.009),1.57 (0.009)
21,1.22 (0.008),1.43 (0.008)
22,1.02 (0.007),1.36 (0.009)
23,1.07 (0.008),1.24 (0.011)
24,1.08 (0.008),1.15 (0.009)
25,1.11 (0.009),1.28 (0.011)
26,1.35 (0.009),1.51 (0.011)
27,1.16 (0.007),1.42 (0.008)
28,1.12 (0.007),1.35 (0.008)
29,1.10 (0.007),1.32 (0.008)
30,1.20 (0.009),1.43 (0.009)
