Week,SuperLearnerCV,DiscreteSL
01,3.49 (0.017),3.34 (0.022)
02,3.77 (0.019),3.55 (0.017)
03,3.60 (0.018),3.58 (0.017)
04,3.36 (0.018),3.37 (0.019)
05,3.84 (0.019),3.38 (0.020)
06,3.25 (0.018),3.04 (0.019)
07,3.54 (0.018),3.08 (0.019)
08,2.55 (0.015),2.27 (0.015)
09,2.70 (0.018),2.57 (0.019)
10,3.56 (0.022),3.08 (0.020)
11,3.39 (0.021),3.04 (0.020)
12,3.64 (0.020),2.59 (0.021)
13,3.60 (0.020),3.16 (0.026)
14,3.68 (0.021),3.42 (0.019)
15,4.26 (0.021),3.54 (0.020)
16,3.87 (0.046),3.01 (0.022)
17,3.79 (0.024),2.71 (0.020)
18,1.48 (0.010),1.72 (0.012)
19,1.50 (0.011),1.50 (0.009)
20,1.74 (0.009),1.57 (0.009)
21,1.63 (0.009),1.43 (0.008)
22,1.25 (0.008),1.36 (0.009)
23,1.46 (0.010),1.24 (0.011)
24,1.59 (0.014),1.15 (0.009)
25,1.83 (0.012),1.28 (0.011)
26,1.81 (0.011),1.51 (0.011)
27,1.64 (0.010),1.42 (0.008)
28,1.69 (0.010),1.35 (0.008)
29,1.63 (0.009),1.32 (0.008)
30,1.70 (0.010),1.43 (0.009)
