target,learner,mean_risk,SE_risk,fold_SD,fold_min_risk,fold_max_risk,Week,analysis
PeakRate,SuperLearner,2.65135102399697,0.0145916525201891,0.405082500065468,2.09015133468482,3.405271599207,01,LambdaMin
PeakRate,SuperLearnerCV,2.65174028898834,0.0145954657866323,0.404867656338392,2.09873014324811,3.40652360151095,01,LambdaMin
PeakRate,SuperLearner,2.5398861208818,0.0145751284512556,0.507794253624336,1.92544906713717,3.45504847902202,02,LambdaMin
PeakRate,SuperLearnerCV,2.75082541167445,0.01567177861173,0.632911978306037,1.92910861618071,4.41911044377809,02,LambdaMin
PeakRate,SuperLearner,2.4976132760206,0.0146934851650141,0.643775999636538,1.65610573540026,3.54203725847126,03,LambdaMin
PeakRate,SuperLearnerCV,2.6118464527991,0.0152756070641187,0.669710256106092,1.67809206849058,3.94693485787672,03,LambdaMin
PeakRate,SuperLearner,2.4736764204569,0.0147957000883326,0.662325193311334,1.54906294571935,3.57072308875912,04,LambdaMin
PeakRate,SuperLearnerCV,2.6288625776537,0.0158040434950014,0.839907244068847,1.58827918679192,4.74653424968815,04,LambdaMin
PeakRate,SuperLearner,2.36614192529679,0.0139067975815413,0.591130344796552,1.65658930748641,3.43990882307559,05,LambdaMin
PeakRate,SuperLearnerCV,2.49377146354867,0.0145131162692164,0.693966358135041,1.73330659976057,4.08595866469395,05,LambdaMin
PeakRate,SuperLearner,2.25369173562908,0.0143980606641511,0.74051793978105,1.53420578881115,3.77033244676134,06,LambdaMin
PeakRate,SuperLearnerCV,2.3994738192908,0.0154119501869832,0.836338816223515,1.66741955478217,3.9087661482823,06,LambdaMin
PeakRate,SuperLearner,2.31441729624296,0.0139241466397438,0.648616953640678,1.52714457324543,3.63353877635043,07,LambdaMin
PeakRate,SuperLearnerCV,2.89465250811639,0.0320179435195789,1.57502277220733,1.70052497260726,8.00869250521477,07,LambdaMin
PeakRate,SuperLearner,2.232506429246,0.014566855513681,0.805523279370789,1.30772157664624,3.81899272564554,08,LambdaMin
PeakRate,SuperLearnerCV,2.51910189715244,0.0167539633831822,1.0580237823183,1.34966727926992,4.20504048556568,08,LambdaMin
PeakRate,SuperLearner,2.30961624465127,0.0147580341749723,0.820500656094119,1.45401393517145,3.78816362079955,09,LambdaMin
PeakRate,SuperLearnerCV,2.56833032803033,0.0156819863265023,0.879021235325721,1.49631636559753,4.21581330936018,09,LambdaMin
PeakRate,SuperLearner,1.91194956174597,0.0146163693432506,1.07892546859513,1.06071347254238,5.18023273608447,10,LambdaMin
PeakRate,SuperLearnerCV,2.18099127221442,0.0157545154121444,1.12053581199063,1.19354216370204,5.30966132174953,10,LambdaMin
PeakRate,SuperLearner,1.43979717490607,0.00999441063254327,0.595002898580803,0.75099450395324,2.71271411028043,11,LambdaMin
PeakRate,SuperLearnerCV,1.93835150902577,0.0157830906690822,0.833557176162224,0.655603300476343,3.35551066437624,11,LambdaMin
PeakRate,SuperLearner,1.46760949184827,0.0110454555539179,0.703506290336305,0.59441846516989,3.2523699013057,12,LambdaMin
PeakRate,SuperLearnerCV,1.92854919252769,0.0138119896039503,1.00583765030882,0.561874341704375,4.51038667315498,12,LambdaMin
PeakRate,SuperLearner,1.42293085648326,0.0107497733914546,0.732559560635646,0.534825068969455,2.76496661071968,13,LambdaMin
PeakRate,SuperLearnerCV,1.97997984112213,0.0155377033322015,1.22355218561495,0.692030155854043,4.7886023007995,13,LambdaMin
PeakRate,SuperLearner,1.69844487638596,0.0130907414753741,0.927169537469831,0.793510886776828,4.0472927565746,14,LambdaMin
PeakRate,SuperLearnerCV,2.06118117547343,0.0140014300216757,0.996590443243208,1.02502837294905,4.394869404066,14,LambdaMin
PeakRate,SuperLearner,1.72273542132069,0.0122816123626605,0.810302700037169,0.853181821793883,3.50467464325197,15,LambdaMin
PeakRate,SuperLearnerCV,2.08305612676912,0.0155860938529308,1.05278336242187,0.886528972008809,4.24641089799313,15,LambdaMin
PeakRate,SuperLearner,1.43892571025049,0.0100074532487925,0.693108793144708,0.487977952598646,2.66353943768177,16,LambdaMin
PeakRate,SuperLearnerCV,2.0816783650568,0.0153927636775104,1.19958670017616,0.533050160498733,4.94470789703711,16,LambdaMin
PeakRate,SuperLearner,0.906054819552554,0.00727685556677583,0.551559457685309,0.254135834699078,2.46706223617436,17,LambdaMin
PeakRate,SuperLearnerCV,1.36012656773205,0.0109949292877358,0.878231275279231,0.294010070262308,3.90941858245893,17,LambdaMin
PeakRate,SuperLearner,0.970162136826166,0.00918698488503433,0.867044516378566,0.284480340920414,3.7814527692626,18,LambdaMin
PeakRate,SuperLearnerCV,1.36677137905901,0.0123332362954906,1.10014158019019,0.253410971511748,4.20089653539308,18,LambdaMin
PeakRate,SuperLearner,1.01638743131106,0.0103711091996091,0.95153120739611,0.241970501617677,3.4444910388802,19,LambdaMin
PeakRate,SuperLearnerCV,1.31846452744258,0.0121533981009486,1.0873813005798,0.328397301955754,3.76216280132995,19,LambdaMin
PeakRate,SuperLearner,0.828917081578797,0.00951009799338596,0.908600759693009,0.120683669139949,3.68005673100465,20,LambdaMin
PeakRate,SuperLearnerCV,1.05378532973903,0.0109720727846706,1.01964991879088,0.186889209126027,3.85751458961364,20,LambdaMin
PeakRate,SuperLearner,0.690686025605922,0.00775664649901097,0.75875623496032,0.0774076024274875,3.10481014370771,21,LambdaMin
PeakRate,SuperLearnerCV,0.962591060139882,0.0111130928954244,0.789762108346944,0.0767641086093694,3.12043063008574,21,LambdaMin
PeakRate,SuperLearner,0.380103859658245,0.00528686716084989,0.552359358665842,0.0913724593381347,1.9367689243247,22,LambdaMin
PeakRate,SuperLearnerCV,0.449109500045153,0.00599878937573518,0.633056037064832,0.0952570391910859,1.99667434827915,22,LambdaMin
PeakRate,SuperLearner,0.392462234201129,0.00556288720609439,0.592992412491831,0.0563188632574876,1.83360218580622,23,LambdaMin
PeakRate,SuperLearnerCV,0.459674781298947,0.0055015382268719,0.557293022802646,0.0767322616515712,1.81512911835577,23,LambdaMin
PeakRate,SuperLearner,0.267209284578191,0.00250852637168751,0.153965004613765,0.103252228431615,0.583146850834367,24,LambdaMin
PeakRate,SuperLearnerCV,0.406348727796065,0.00384579911963574,0.32979529908858,0.0664896747747911,1.31461064180622,24,LambdaMin
PeakRate,SuperLearner,0.272533973478226,0.00257750228567191,0.208333058653609,0.0721584307267164,0.64087890152585,25,LambdaMin
PeakRate,SuperLearnerCV,0.362666394128748,0.00322843934650731,0.278399241437726,0.101916022217394,0.916858024568586,25,LambdaMin
PeakRate,SuperLearner,0.292899431839514,0.00292204348391436,0.21347187885524,0.0622401403329528,0.846609637687022,26,LambdaMin
PeakRate,SuperLearnerCV,0.536131674971664,0.00856788226974913,0.561501884482457,0.0628445913915484,2.23216495627191,26,LambdaMin
PeakRate,SuperLearner,0.297686357650657,0.00272473481224356,0.164774472225411,0.0678802170107095,0.612058190064076,27,LambdaMin
PeakRate,SuperLearnerCV,0.493433841377387,0.004745497149993,0.393939929250117,0.0641182124253092,1.30723533806321,27,LambdaMin
PeakRate,SuperLearner,0.310205818931238,0.00289568106021766,0.190218886661708,0.0785913713118011,0.694100252077343,28,LambdaMin
PeakRate,SuperLearnerCV,0.413586696350377,0.00360747748817681,0.319631087576779,0.0922750886139527,1.14340996833845,28,LambdaMin
PeakRate,SuperLearner,0.359564834394819,0.00330878930292821,0.224963797283334,0.0664932290267512,0.876837000703086,29,LambdaMin
PeakRate,SuperLearnerCV,0.540496229049026,0.0050384174957235,0.454740488249202,0.11404823806793,1.81181466026666,29,LambdaMin
PeakRate,SuperLearner,0.36185206617139,0.00304560855072731,0.195464414782173,0.0909818084375097,0.69037442069642,30,LambdaMin
PeakRate,SuperLearnerCV,0.583595871473999,0.00505098788928976,0.382290910189337,0.20543645547781,1.2669107538844,30,LambdaMin
PeakWeek,SuperLearner,3.52353790644872,0.017141729146143,1.90507565367953,1.04593263396702,6.86638709926548,01,LambdaMin
PeakWeek,SuperLearnerCV,3.49016946897196,0.0172854812269711,1.91778763829873,1.05221896000883,6.89374542296732,01,LambdaMin
PeakWeek,SuperLearner,3.42495285249581,0.0185653627541702,2.15284747255193,0.67623963477525,7.17706841920917,02,LambdaMin
PeakWeek,SuperLearnerCV,3.77161089163714,0.0191543621398077,1.95526010110849,0.85391871902793,7.1767673535332,02,LambdaMin
PeakWeek,SuperLearner,3.41786539567835,0.0190883582762222,2.00520143594077,1.34673258343731,7.25975967071114,03,LambdaMin
PeakWeek,SuperLearnerCV,3.59549708059818,0.0182348223685846,1.93235100453544,1.33709496109193,7.27012454063836,03,LambdaMin
PeakWeek,SuperLearner,3.19461272240201,0.0194001314906109,1.96724802866517,1.00943242927088,7.26673773079536,04,LambdaMin
PeakWeek,SuperLearnerCV,3.36243132100093,0.0177837783321937,1.80109246380022,1.01920488403629,7.08556060283477,04,LambdaMin
PeakWeek,SuperLearner,3.29266736688839,0.0189849626670266,1.66748673414805,0.776380348340663,7.21131080261994,05,LambdaMin
PeakWeek,SuperLearnerCV,3.83515904480333,0.018871529941207,1.88129134942173,0.835340932744278,7.28838465932886,05,LambdaMin
PeakWeek,SuperLearner,2.93919501601852,0.0189855579151433,1.63685750936015,0.910350501918837,6.69344624149516,06,LambdaMin
PeakWeek,SuperLearnerCV,3.25027203707433,0.0181582794808993,1.62681501098366,0.934979109011959,6.76859240396356,06,LambdaMin
